#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
43,Sweden,"2,754,129",,"27,407",,"2,726,492",+20,230,N/A,"269,511","2,682","19,500,873","1,908,301","10,218,971",Europe,4,373,1,,,23
45,Serbia,"2,615,054",,"18,057",,"2,596,608",,389,,"302,213","2,087","13,463,733","1,555,958","8,653,016",Europe,3,479,1,,,45
47,Hungary,"2,230,232",,"49,048",,"2,152,155",,"29,029",,"232,164","5,106","11,394,556","1,186,160","9,606,259",Europe,4,196,1,,,"3,022"
49,Slovakia,"1,877,605",,"21,224",,"1,856,381",,0,23,"343,872","3,887","7,448,789","1,364,199","5,460,193",Europe,3,257,1,,,
52,Ireland,"1,734,582",,"9,491",,"1,724,921",,170,19,"345,521","1,891","13,083,449","2,606,161","5,020,199",Europe,3,529,0,,,34
54,Finland,"1,516,117",,"11,958",,"1,503,989",+14,170,N/A,"272,930","2,153","12,108,977","2,179,850","5,554,960",Europe,4,465,0,,,31
55,Norway,"1,509,732",,"6,638",,"1,503,094",,0,N/A,"273,930","1,204","11,002,430","1,996,315","5,511,370",Europe,4,830,1,,,
57,Lithuania,"1,397,806",,"9,897",,"1,387,478",,431,N/A,"525,154","3,718","10,540,357","3,959,997","2,661,708",Europe,2,269,0,,,162
58,Slovenia,"1,356,546",,"7,100",,"1,349,424",,22,N/A,"652,803","3,417","2,847,701","1,370,382","2,078,034",Europe,2,293,1,,,11
59,Bulgaria,"1,339,851",,"38,748",,"1,292,944",,"8,159",22,"195,753","5,661","11,671,043","1,705,147","6,844,597",Europe,5,177,1,,,"1,192"
60,Croatia,"1,309,728",,"18,687",,"1,258,432",,"32,609",,"322,650","4,604","5,660,084","1,394,355","4,059,286",Europe,3,217,1,,,"8,033"
74,Belarus,"994,037",,"7,118",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800",Europe,9,"1,325",1,,,141
75,Latvia,"982,505",,"6,715",,"971,406",,"4,384",,"531,418","3,632","7,885,792","4,265,272","1,848,837",Europe,2,275,0,,,"2,371"
